Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Pete Fairbanks,29,971,Maj-AL,Tampa Bay,49,0,2.0,4.0,25.0,45.1,26,14,13,20,68,3,4,2.58,159,2,0,0,3,0,7,0,0,184,735,0.68,0.22,0.13,0.51,0.22,0.1,1.015,0.261,13.5,3.4,664126
Bailey Falter,26,978,Maj-NL,"Philadelphia,Pittsburgh",18,14,2.0,9.0,,80.2,94,55,48,20,60,17,0,5.36,326,17,1,0,5,1,9,4,2,347,1297,0.67,0.16,0.08,0.4,0.27,0.1,1.413,0.308,6.7,3.0,663559
Jeurys Familia,33,1122,Maj-AL,Oakland,14,0,,1.0,2.0,12.2,13,12,9,13,9,2,1,6.39,48,3,0,0,1,1,0,0,0,64,256,0.55,0.14,0.1,0.56,0.12,0.05,2.053,0.289,6.4,0.69,544727
Jake Faria,29,1047,Maj-AL,Boston,1,0,,,,2.0,4,5,5,4,3,0,0,22.5,9,0,1,0,0,1,0,0,0,14,65,0.48,0.14,0.14,0.14,0.29,0.0,4.0,0.571,13.5,0.75,607188
Buck Farmer,32,971,Maj-NL,Cincinnati,71,0,4.0,5.0,3.0,75.0,58,36,35,29,70,11,4,4.2,271,18,0,0,3,3,12,1,0,309,1223,0.63,0.16,0.13,0.33,0.2,0.14,1.16,0.244,8.4,2.41,571656
Calvin Faucher,27,1034,Maj-AL,Tampa Bay,17,4,1.0,1.0,,25.2,31,20,20,12,25,4,1,7.01,107,4,1,0,2,0,4,0,0,120,514,0.64,0.17,0.11,0.49,0.23,0.06,1.675,0.346,8.8,2.08,676534
Angel Felipe,25,1018,Maj-AL,Oakland,14,0,1.0,1.0,,15.0,6,7,7,13,19,0,1,4.2,50,1,0,0,1,0,0,0,0,64,271,0.56,0.21,0.13,0.55,0.16,0.1,1.267,0.194,11.4,1.46,665734
Ryan Feltner,26,975,Maj-NL,Colorado,10,10,2.0,4.0,,43.1,45,29,28,28,38,2,2,5.82,170,8,1,0,3,1,4,0,0,201,781,0.63,0.19,0.08,0.44,0.27,0.08,1.685,0.328,7.9,1.36,663372
Caleb Ferguson,26,960,Maj-NL,Los Angeles,70,7,7.0,4.0,3.0,62.2,64,30,23,24,72,4,8,3.3,245,9,1,0,8,1,4,1,1,278,1093,0.66,0.17,0.11,0.51,0.25,0.09,1.404,0.353,10.3,3.0,657571
Jose A. Ferrer,23,970,Maj-NL,Washington,39,0,3.0,,,34.0,37,19,19,13,25,4,1,5.03,128,5,0,2,7,0,6,1,1,142,563,0.63,0.16,0.08,0.55,0.22,0.05,1.471,0.333,6.6,1.92,678606
Matt Festa,30,1049,Maj-AL,Seattle,8,0,,,,9.0,4,4,4,12,13,1,0,4.0,31,2,0,0,0,0,1,0,0,43,195,0.54,0.12,0.15,0.33,0.11,0.11,1.778,0.176,13.0,1.08,670036
Kyle Finnegan,31,970,Maj-NL,Washington,67,0,7.0,5.0,28.0,69.1,66,33,29,24,63,11,1,3.76,260,11,0,1,11,1,15,1,1,288,1108,0.65,0.16,0.11,0.48,0.27,0.08,1.298,0.294,8.2,2.63,640448
Jack Flaherty,27,963,"Maj-AL,Maj-NL","Baltimore,St. Louis",30,27,8.0,9.0,,146.1,164,84,81,69,149,17,12,4.98,572,37,2,2,20,6,4,2,0,660,2680,0.61,0.17,0.11,0.43,0.28,0.05,1.592,0.357,9.2,2.16,656427
Josh Fleming,27,1020,Maj-AL,Tampa Bay,12,3,2.0,,,51.2,56,29,27,19,25,9,0,4.7,199,8,1,2,10,3,1,0,0,221,759,0.63,0.17,0.08,0.62,0.2,0.03,1.452,0.28,4.4,1.32,676596
Chris Flexen,28,973,"Maj-AL,Maj-NL","Colorado,Seattle",29,16,2.0,8.0,,102.1,133,81,78,38,74,25,4,6.86,420,19,1,0,10,3,6,2,0,466,1755,0.63,0.15,0.1,0.39,0.29,0.08,1.671,0.333,6.5,1.95,623167
Dylan Floro,32,977,"Maj-AL,Maj-NL","Miami,Minnesota",62,0,5.0,6.0,7.0,56.2,70,34,30,17,58,3,3,4.76,227,12,1,3,11,1,7,1,0,248,961,0.65,0.19,0.09,0.55,0.28,0.04,1.535,0.401,9.2,3.41,571670
Jason Foley,27,973,Maj-AL,Detroit,70,0,3.0,3.0,7.0,69.0,65,21,20,15,55,2,1,2.61,259,13,2,2,14,1,3,2,0,276,1047,0.66,0.17,0.07,0.57,0.25,0.03,1.159,0.31,7.2,3.67,671345
Mike Ford,30,1063,Maj-AL,Seattle,2,0,,,,2.0,5,4,4,1,0,2,0,18.0,11,1,0,0,0,0,0,0,0,12,42,0.55,0.19,0.0,0.27,0.18,0.0,3.0,0.333,0.0,0.0,645801
J.P. France,28,948,Maj-AL,Houston,26,23,11.0,6.0,,139.1,144,68,62,49,103,19,2,4.0,538,21,2,0,17,7,9,2,3,597,2269,0.62,0.17,0.09,0.42,0.25,0.08,1.385,0.296,6.7,2.1,641585
Bowden Francis,27,987,Maj-AL,Toronto,20,0,1.0,,1.0,36.1,22,7,7,8,35,5,1,1.73,126,3,0,0,3,1,1,0,0,136,539,0.67,0.17,0.1,0.36,0.22,0.08,0.826,0.195,8.7,4.38,670102
Kyle Freeland,30,985,Maj-NL,Colorado,29,29,6.0,14.0,,155.2,187,96,87,42,94,29,1,5.03,624,30,6,0,18,6,13,7,2,677,2417,0.66,0.15,0.08,0.41,0.24,0.05,1.471,0.312,5.4,2.24,607536
Luis Fr\xc3\xadas,25,940,Maj-NL,Arizona,36,0,1.0,,,37.2,33,18,15,20,34,5,2,3.58,144,12,0,0,3,0,3,0,1,166,634,0.63,0.15,0.12,0.42,0.2,0.07,1.407,0.267,8.1,1.7,666818
Max Fried,29,962,Maj-NL,Atlanta,15,15,8.0,1.0,,81.2,76,27,25,22,83,8,2,2.76,307,9,0,0,9,1,4,2,3,333,1339,0.63,0.16,0.12,0.58,0.19,0.04,1.2,0.313,9.1,3.77,608331
David Fry,27,997,Maj-AL,Cleveland,2,0,,,,5.0,10,7,7,1,0,3,0,12.6,25,1,0,0,0,0,0,0,0,26,72,0.64,0.1,0.01,0.2,0.24,0.12,2.2,0.318,0.0,0.0,681807
Shintaro Fujinami,29,970,Maj-AL,"Baltimore,Oakland",64,7,7.0,8.0,2.0,79.0,73,65,63,45,83,9,7,7.18,302,18,2,1,6,3,7,0,0,357,1405,0.6,0.14,0.12,0.39,0.26,0.08,1.494,0.3,9.5,1.84,660261
Carson Fulmer,29,970,Maj-AL,Los Angeles,3,1,1.0,1.0,,10.0,6,3,3,4,6,1,1,2.7,34,1,1,0,1,0,1,0,1,39,157,0.6,0.17,0.07,0.57,0.14,0.0,1.0,0.185,5.4,1.5,608334
Michael Fulmer,30,990,Maj-NL,Chicago,58,1,3.0,5.0,2.0,57.0,48,29,28,28,65,7,2,4.42,204,13,0,0,8,3,1,2,0,237,950,0.62,0.16,0.14,0.39,0.25,0.08,1.333,0.304,10.3,2.32,605242
Kody Funderburk,26,970,Maj-AL,Minnesota,11,0,2.0,,,12.0,6,1,1,5,19,1,1,0.75,41,1,0,0,0,0,2,1,1,47,192,0.65,0.21,0.14,0.55,0.14,0.0,0.917,0.238,14.3,3.8,681892
Hunter Gaddis,25,980,Maj-AL,Cleveland,11,7,2.0,1.0,,42.0,41,21,21,14,24,6,4,4.5,161,11,1,0,1,3,3,1,0,182,686,0.64,0.16,0.07,0.27,0.21,0.16,1.31,0.261,5.1,1.71,683769
Matt Gage,30,1078,Maj-AL,Houston,5,0,,,,6.2,6,2,2,3,8,1,0,2.7,23,1,0,0,2,0,0,0,0,27,119,0.57,0.18,0.13,0.5,0.38,0.06,1.35,0.357,10.8,2.67,657424
Giovanny Gallegos,31,984,Maj-NL,St. Louis,56,0,2.0,4.0,10.0,55.0,54,28,27,12,59,11,0,4.42,214,13,0,0,2,1,4,0,0,229,884,0.66,0.14,0.18,0.36,0.25,0.08,1.2,0.297,9.7,4.92,606149
Zac Gallen,27,939,Maj-NL,Arizona,40,40,19.0,12.0,,243.2,219,104,98,61,244,28,6,3.62,915,47,3,0,23,5,8,6,0,987,3799,0.64,0.17,0.11,0.43,0.26,0.04,1.149,0.295,9.0,4.0,668678
Deivi Garc\xc3\xada,24,970,Maj-AL,"Chicago,New York",8,0,,1.0,1.0,15.0,9,9,4,12,10,2,1,2.4,52,5,0,0,1,2,0,0,0,67,289,0.55,0.13,0.09,0.41,0.27,0.05,1.4,0.167,6.0,0.83,665620
Luis Garcia,36,971,Maj-NL,San Diego,61,0,2.0,3.0,,59.2,59,30,27,24,53,6,6,4.07,234,8,1,1,4,1,12,2,2,267,1010,0.61,0.13,0.11,0.61,0.22,0.02,1.391,0.301,8.0,2.21,472610
Luis Garcia,26,1123,Maj-AL,Houston,6,6,2.0,2.0,,27.0,25,12,12,10,31,3,1,4.0,103,8,1,0,0,0,0,1,0,115,462,0.64,0.14,0.15,0.27,0.33,0.15,1.296,0.319,10.3,3.1,677651
Rico Garcia,29,1035,"Maj-AL,Maj-NL","Oakland,Washington",10,0,,,,11.2,19,12,12,6,10,5,0,9.26,53,4,0,0,0,1,0,0,0,60,267,0.59,0.13,0.11,0.27,0.27,0.07,2.143,0.359,7.7,1.67,670329
Robert Garcia,27,975,Maj-NL,"Miami,Washington",25,0,2.0,2.0,,32.0,26,16,13,12,33,3,0,3.66,111,2,0,2,4,1,4,2,1,127,522,0.66,0.16,0.11,0.49,0.22,0.1,1.188,0.303,9.3,2.75,676395
Yimi Garc\xc3\xada,32,967,Maj-AL,Toronto,74,0,3.0,4.0,3.0,67.1,67,35,30,16,82,8,6,4.01,261,11,1,1,6,1,7,1,1,287,1125,0.64,0.16,0.13,0.47,0.25,0.08,1.233,0.343,11.0,5.13,554340
Amir Garrett,31,1057,Maj-AL,Kansas City,27,0,,1.0,,24.1,22,11,9,20,28,4,0,3.33,90,4,0,0,3,1,2,0,0,112,476,0.58,0.16,0.11,0.48,0.19,0.02,1.726,0.305,10.4,1.4,607237
Braxton Garrett,25,967,Maj-NL,Miami,32,31,9.0,8.0,,162.2,157,70,67,30,161,20,11,3.71,629,39,4,0,12,2,14,3,3,672,2536,0.66,0.19,0.11,0.49,0.26,0.04,1.15,0.304,8.9,5.37,666129
Reed Garrett,30,971,"Maj-AL,Maj-NL","Baltimore,New York",11,0,1.0,,,19.2,22,14,14,7,16,3,1,6.41,78,5,0,0,1,1,3,1,0,87,347,0.64,0.13,0.14,0.44,0.27,0.08,1.475,0.317,7.3,2.29,657585
Justin Garza,29,1041,Maj-AL,Boston,17,1,,2.0,,18.1,22,17,15,12,17,3,1,7.36,77,6,1,1,0,1,0,0,0,91,351,0.62,0.17,0.09,0.34,0.3,0.05,1.855,0.328,8.3,1.42,621057
Kevin Gausman,32,968,Maj-AL,Toronto,32,32,12.0,10.0,,189.0,166,75,68,58,242,21,3,3.24,715,43,1,0,9,1,21,4,3,781,3143,0.66,0.17,0.13,0.43,0.25,0.06,1.185,0.32,11.5,4.17,592332
Domingo Germ\xc3\xa1n,30,1032,Maj-AL,New York,20,19,5.0,7.0,,108.2,83,61,55,34,114,20,6,4.56,401,19,2,0,6,3,12,2,1,444,1653,0.67,0.16,0.15,0.4,0.22,0.1,1.077,0.233,9.4,3.35,593334
Ian Gibaut,29,971,Maj-NL,Cincinnati,74,0,8.0,4.0,3.0,75.2,69,33,28,28,69,8,4,3.33,282,10,0,4,4,2,10,6,2,318,1215,0.67,0.15,0.12,0.41,0.23,0.07,1.282,0.295,8.2,2.46,664139
Kyle Gibson,35,961,Maj-AL,Baltimore,34,33,15.0,9.0,,195.0,199,102,102,56,158,24,6,4.71,741,43,5,0,25,11,7,4,1,817,3070,0.62,0.17,0.11,0.49,0.23,0.04,1.308,0.307,7.3,2.82,502043
Logan Gilbert,26,973,Maj-AL,Seattle,32,32,13.0,7.0,,190.2,169,82,79,36,189,29,2,3.73,724,36,2,1,9,5,14,1,0,770,2924,0.67,0.15,0.12,0.42,0.23,0.06,1.075,0.274,8.9,5.25,669302
Tyler Gilbert,29,1016,Maj-NL,Arizona,11,0,,2.0,,17.1,21,10,10,5,19,2,0,5.19,67,7,1,0,1,0,0,2,0,72,263,0.64,0.16,0.13,0.44,0.33,0.04,1.5,0.413,9.9,3.8,656457
Logan Gillaspie,26,1070,Maj-AL,Baltimore,11,0,,1.0,,9.0,14,7,6,5,8,2,1,6.0,40,7,1,0,1,0,0,0,0,46,191,0.64,0.14,0.09,0.34,0.44,0.0,2.111,0.4,8.0,1.6,670810
Kevin Ginkel,29,939,Maj-NL,Arizona,70,0,10.0,1.0,4.0,77.0,49,24,18,28,85,3,2,2.1,267,15,0,1,8,3,2,1,0,300,1243,0.62,0.15,0.14,0.51,0.2,0.05,1.0,0.253,9.9,3.04,656464
Lucas Giolito,28,970,Maj-AL,"Chicago,Cleveland,Los Angeles",33,33,8.0,15.0,,184.1,169,110,100,73,204,41,9,4.88,705,34,7,2,6,6,13,6,2,794,3191,0.63,0.17,0.12,0.36,0.23,0.12,1.313,0.275,10.0,2.79,608337
Sawyer Gipson-Long,25,973,Maj-AL,Detroit,4,4,1.0,,,20.0,14,7,6,8,26,2,0,2.7,74,4,1,0,1,0,1,1,0,82,336,0.63,0.16,0.16,0.35,0.25,0.04,1.1,0.261,11.7,3.25,687830
Mychal Givens,33,1093,Maj-AL,Baltimore,6,0,,1.0,,4.0,4,6,5,6,2,0,1,11.25,14,1,0,1,1,1,1,0,0,22,89,0.58,0.11,0.04,0.46,0.38,0.0,2.5,0.308,4.5,0.33,571710
Tyler Glasnow,29,968,Maj-AL,Tampa Bay,22,22,10.0,8.0,,125.0,99,56,50,42,170,13,1,3.6,466,18,3,0,7,4,21,1,0,513,1993,0.65,0.17,0.16,0.5,0.22,0.04,1.128,0.3,12.2,4.05,607192
Austin Gomber,29,1004,Maj-NL,Colorado,27,27,9.0,9.0,,139.0,164,88,85,43,87,26,3,5.5,552,35,3,1,18,1,8,1,1,603,2162,0.64,0.16,0.08,0.43,0.24,0.07,1.489,0.314,5.6,2.02,596295
Yoendrys G\xc3\xb3mez,23,973,Maj-AL,New York,1,0,,,,2.0,1,0,0,0,4,0,1,0.0,7,0,0,0,0,0,0,0,0,8,30,0.67,0.13,0.13,0.33,0.0,0.0,0.5,0.333,18.0,,672782
Tony Gonsolin,29,1014,Maj-NL,Los Angeles,20,20,8.0,5.0,,103.0,86,61,57,40,82,19,7,4.98,381,15,0,1,8,5,8,1,0,435,1665,0.64,0.15,0.1,0.36,0.24,0.08,1.223,0.235,7.2,2.05,664062
Marco Gonzales,31,1096,Maj-AL,Seattle,10,10,4.0,1.0,,50.0,55,32,29,18,34,5,0,5.22,195,14,0,0,7,2,1,1,0,215,811,0.66,0.18,0.09,0.4,0.29,0.06,1.46,0.316,6.1,1.89,594835
Chi Chi Gonz\xc3\xa1lez,31,984,Maj-NL,Miami,3,0,,,,3.2,7,3,3,1,3,1,0,7.36,18,2,0,0,0,0,1,0,0,19,75,0.68,0.2,0.07,0.6,0.2,0.07,2.182,0.429,7.4,3.0,592346
Victor Gonz\xc3\xa1lez,27,970,Maj-NL,Los Angeles,34,1,3.0,3.0,,33.2,27,15,15,10,30,2,3,4.01,121,7,0,1,5,1,2,0,0,135,510,0.64,0.18,0.13,0.54,0.25,0.02,1.099,0.278,8.0,3.0,624647
MacKenzie Gore,24,993,Maj-NL,Washington,27,27,7.0,10.0,,136.1,134,71,67,57,151,27,1,4.42,519,19,2,0,16,4,10,3,5,582,2461,0.63,0.15,0.12,0.39,0.26,0.06,1.401,0.31,10.0,2.65,669022
Trevor Gott,30,974,"Maj-AL,Maj-NL","New York,Seattle",64,0,,5.0,1.0,58.0,63,34,27,19,62,4,4,4.19,236,13,1,3,2,1,12,0,2,261,977,0.64,0.19,0.09,0.41,0.27,0.09,1.414,0.345,9.6,3.26,641627
Brusdar Graterol,24,960,Maj-NL,Los Angeles,70,1,4.0,2.0,7.0,70.1,54,14,9,13,50,3,2,1.15,249,7,1,1,12,2,5,2,0,267,963,0.68,0.18,0.07,0.66,0.14,0.04,0.953,0.258,6.4,3.85,660813
Kendall Graveman,32,971,Maj-AL,"Chicago,Houston",68,0,5.0,6.0,8.0,66.1,51,27,23,36,66,9,5,3.12,238,8,1,0,12,1,5,1,1,282,1116,0.6,0.16,0.12,0.39,0.25,0.09,1.312,0.256,9.0,1.83,608665
Jon Gray,31,941,Maj-AL,Texas,32,29,10.0,8.0,,163.0,153,76,73,55,150,22,9,4.03,603,16,1,1,13,7,12,9,4,678,2465,0.66,0.15,0.13,0.41,0.26,0.07,1.276,0.299,8.3,2.73,592351
Josiah Gray,25,975,Maj-NL,Washington,30,30,8.0,13.0,,159.0,152,72,69,80,143,22,9,3.91,605,29,1,1,13,4,21,4,4,698,2812,0.61,0.15,0.11,0.38,0.24,0.1,1.459,0.293,8.1,1.79,680686
Sonny Gray,33,961,Maj-AL,Minnesota,34,34,9.0,9.0,,193.0,169,64,61,58,195,10,6,2.84,727,36,3,0,13,3,8,4,5,797,2987,0.64,0.17,0.11,0.48,0.27,0.05,1.176,0.303,9.1,3.36,543243
Chad Green,32,968,Maj-AL,Toronto,13,0,3.0,,,13.1,12,10,7,4,17,1,0,4.73,52,3,1,1,1,0,1,0,0,56,209,0.69,0.12,0.19,0.37,0.29,0.06,1.2,0.324,11.5,4.25,643338
Hunter Greene,23,970,Maj-NL,Cincinnati,22,22,4.0,7.0,,112.0,111,65,60,48,152,19,8,4.82,438,33,4,0,4,2,16,4,0,498,2089,0.64,0.15,0.13,0.36,0.22,0.07,1.42,0.342,12.2,3.17,668881
Shane Greene,34,970,Maj-NL,Chicago,2,0,,,,3.0,2,0,0,2,3,0,0,0.0,10,1,0,0,1,0,0,0,0,12,42,0.55,0.26,0.07,0.57,0.14,0.14,1.333,0.286,9.0,1.5,572888
Zack Greinke,39,970,Maj-AL,Kansas City,30,27,2.0,15.0,,142.1,158,82,80,23,97,25,4,5.06,561,25,2,0,13,5,2,1,5,593,2221,0.64,0.18,0.07,0.44,0.25,0.05,1.272,0.3,6.1,4.22,425844
Michael Grove,26,960,Maj-NL,Los Angeles,20,12,2.0,3.0,,71.0,84,48,48,21,75,13,3,6.08,287,15,3,0,5,0,8,2,1,311,1193,0.66,0.16,0.12,0.4,0.3,0.07,1.479,0.357,9.5,3.57,675627
Javy Guerra,27,1045,"Maj-AL,Maj-NL","Milwaukee,Tampa Bay",17,2,,,,19.1,17,13,13,22,14,2,2,6.05,72,2,0,3,2,1,2,0,0,97,363,0.56,0.17,0.07,0.41,0.19,0.08,2.017,0.263,6.5,0.64,642770
Luis Guillorme,28,1151,Maj-NL,New York,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,4,0,0,0,0,0,0,0,0,4,12,0.5,0.17,0.0,0.0,0.25,0.25,1.0,0.25,0.0,,641645
Josh Hader,29,970,Maj-NL,San Diego,61,0,2.0,3.0,33.0,56.1,32,11,8,30,85,3,3,1.28,196,3,0,2,3,0,1,0,0,231,1043,0.64,0.13,0.16,0.37,0.2,0.11,1.101,0.269,13.6,2.83,623352
DL Hall,24,961,Maj-AL,Baltimore,20,0,3.0,,,22.2,19,8,7,6,29,2,0,2.78,87,5,0,0,1,0,1,0,0,93,427,0.65,0.15,0.15,0.5,0.22,0.1,1.103,0.304,11.5,4.83,669084
Ian Hamilton,28,971,Maj-AL,New York,39,3,3.0,2.0,2.0,58.0,45,19,17,26,69,2,3,2.64,209,9,1,1,6,1,2,2,2,239,979,0.63,0.16,0.15,0.56,0.25,0.04,1.224,0.309,10.7,2.65,641656
Emerson Hancock,24,1012,Maj-AL,Seattle,3,3,,,,12.0,13,6,6,3,6,1,0,4.5,46,0,0,0,2,0,4,1,0,49,194,0.67,0.14,0.08,0.5,0.15,0.08,1.333,0.308,4.5,2.0,676106
Brad Hand,33,960,Maj-NL,"Atlanta,Colorado",61,0,5.0,3.0,1.0,54.2,55,34,34,23,61,7,5,5.6,204,14,3,3,3,4,13,1,1,241,992,0.63,0.18,0.09,0.39,0.33,0.07,1.427,0.343,10.0,2.65,543272
Brenan Hanifee,25,971,Maj-AL,Detroit,3,0,,,,5.0,8,3,3,0,3,1,0,5.4,23,1,0,0,0,0,0,0,0,23,89,0.73,0.26,0.04,0.55,0.3,0.0,1.6,0.368,5.4,,669724
Hobie Harris,30,1031,Maj-NL,Washington,16,0,,,,19.1,21,12,11,13,9,2,1,5.12,77,3,1,0,3,0,3,0,0,91,350,0.61,0.17,0.09,0.35,0.29,0.04,1.759,0.288,4.2,0.69,665048
Hogan Harris,26,1010,Maj-AL,Oakland,14,6,3.0,6.0,,63.0,67,51,50,28,56,10,3,7.14,249,20,0,0,5,2,4,0,1,284,1109,0.64,0.18,0.09,0.39,0.25,0.08,1.508,0.308,8.0,2.0,663687
Josh Harrison,35,1139,Maj-NL,Philadelphia,2,0,,,,1.2,8,5,5,2,0,0,0,27.0,11,0,0,0,0,2,0,0,0,15,44,0.55,0.07,0.0,0.15,0.62,0.0,6.0,0.615,0.0,0.0,543281
Kyle Harrison,21,970,Maj-NL,San Francisco,7,7,1.0,1.0,,34.2,29,19,16,11,35,8,4,4.15,131,5,1,0,0,1,3,3,1,147,588,0.65,0.19,0.09,0.28,0.27,0.09,1.154,0.236,9.1,3.18,690986
Geoff Hartlieb,29,999,Maj-NL,Miami,2,0,,,,4.0,2,1,1,3,3,1,0,2.25,13,0,0,0,1,0,0,0,0,16,66,0.58,0.12,0.09,0.3,0.2,0.2,1.25,0.111,6.8,1.0,664129
Grant Hartwig,25,973,Maj-NL,New York,28,0,5.0,2.0,,35.1,34,23,19,15,30,3,6,4.84,136,8,1,1,4,1,1,0,2,158,643,0.6,0.18,0.08,0.49,0.26,0.04,1.387,0.298,7.6,2.0,701643
Hunter Harvey,28,970,Maj-NL,Washington,57,0,4.0,4.0,10.0,60.2,44,21,19,13,67,7,2,2.82,217,7,0,1,4,3,6,0,1,235,963,0.67,0.16,0.12,0.44,0.21,0.04,0.94,0.253,9.9,5.15,640451
Thomas Hatch,28,985,"Maj-AL,Maj-NL","Pittsburgh,Toronto",18,2,1.0,1.0,,28.2,33,18,13,12,26,2,1,4.08,113,9,0,1,4,1,3,1,0,129,475,0.64,0.14,0.14,0.54,0.18,0.03,1.57,0.36,8.2,2.17,641672
Brent Headrick,25,987,Maj-AL,Minnesota,14,0,3.0,,1.0,25.2,27,18,18,10,30,7,4,6.31,101,7,1,0,0,2,0,0,0,117,495,0.66,0.18,0.11,0.19,0.26,0.12,1.442,0.303,10.5,3.0,687396
Andrew Heaney,32,940,Maj-AL,Texas,39,31,11.0,6.0,,158.1,154,79,73,64,155,23,10,4.15,610,38,3,0,13,3,11,4,0,688,2772,0.63,0.15,0.11,0.43,0.21,0.06,1.377,0.301,8.8,2.42,571760
Taylor Hearn,28,1004,"Maj-AL,Maj-NL","Atlanta,Kansas City,Texas",13,0,,,,15.0,23,19,19,8,15,4,0,11.4,68,4,0,0,0,0,3,0,0,76,313,0.67,0.14,0.12,0.32,0.32,0.08,2.067,0.388,9.0,1.88,621368
Jonathan Heasley,26,1021,Maj-AL,Kansas City,12,0,,,,15.0,17,13,12,2,9,5,1,7.2,59,2,1,0,1,1,1,0,0,63,221,0.67,0.14,0.12,0.25,0.35,0.06,1.267,0.261,5.4,4.5,669169
Austin Hedges,30,986,Maj-AL,Texas,4,0,,,,3.2,5,2,2,0,1,1,1,4.91,15,1,0,0,1,0,0,0,0,16,51,0.63,0.16,0.02,0.07,0.36,0.07,1.364,0.308,2.5,,595978
Ben Heller,31,993,Maj-NL,Atlanta,19,0,,,,18.2,16,9,8,11,16,2,2,3.86,69,1,1,0,4,0,0,0,0,82,310,0.63,0.17,0.12,0.51,0.19,0.04,1.446,0.275,7.7,1.45,621294
Ryan Helsley,28,970,Maj-NL,St. Louis,33,0,3.0,4.0,14.0,36.2,22,11,10,17,52,1,1,2.45,125,6,1,1,2,3,2,1,1,146,607,0.64,0.14,0.16,0.41,0.21,0.09,1.064,0.28,12.8,3.06,664854
Heath Hembree,34,1129,Maj-AL,Tampa Bay,1,0,,,,1.1,0,0,0,1,2,0,0,0.0,3,0,0,0,1,0,0,0,0,4,18,0.67,0.17,0.22,1.0,0.0,0.0,0.75,0.0,13.5,2.0,592390
Kyle Hendricks,33,972,Maj-NL,Chicago,24,24,6.0,8.0,,137.0,138,68,57,27,93,13,4,3.74,542,30,3,0,2,4,23,2,0,578,2108,0.66,0.19,0.09,0.47,0.23,0.08,1.204,0.284,6.1,3.44,543294
Liam Hendriks,34,1084,Maj-AL,Chicago,5,0,2.0,,1.0,5.0,4,3,3,1,3,1,0,5.4,18,1,0,0,0,1,1,0,0,20,87,0.59,0.11,0.14,0.5,0.13,0.06,1.0,0.2,5.4,3.0,521230
Tommy Henry,25,1035,Maj-NL,Arizona,17,16,5.0,4.0,,89.0,86,42,41,35,64,12,4,4.15,342,17,2,2,5,0,10,3,1,381,1391,0.63,0.14,0.1,0.37,0.24,0.09,1.36,0.278,6.5,1.83,674072
Sam Hentges,26,972,Maj-AL,Cleveland,56,0,3.0,2.0,,52.1,53,24,21,18,56,2,0,3.61,204,8,1,0,7,1,6,0,0,223,853,0.64,0.19,0.12,0.58,0.26,0.01,1.357,0.347,9.6,3.11,656529
Jimmy Herget,29,970,Maj-AL,Los Angeles,29,1,2.0,4.0,,29.0,33,15,15,8,26,7,2,4.66,117,10,0,3,2,0,0,0,0,127,510,0.65,0.18,0.09,0.29,0.25,0.1,1.414,0.31,8.1,3.25,623474
Kevin Herget,32,995,Maj-NL,Cincinnati,14,0,1.0,2.0,1.0,24.1,26,14,14,6,13,4,2,5.18,97,8,1,1,1,0,0,0,0,105,418,0.64,0.16,0.07,0.33,0.27,0.08,1.315,0.275,4.8,2.17,643361
Carlos Hern\xc3\xa1ndez,26,970,Maj-AL,Kansas City,67,4,1.0,10.0,4.0,70.0,62,43,41,31,77,10,1,5.27,266,17,2,1,5,2,3,1,0,300,1249,0.64,0.12,0.14,0.33,0.29,0.06,1.329,0.287,9.9,2.48,672578
Daysbel Hern\xc3\xa1ndez,26,960,Maj-NL,Atlanta,5,0,1.0,,,4.2,6,3,3,4,6,1,1,5.79,19,0,0,0,1,0,1,0,0,24,102,0.6,0.1,0.17,0.38,0.31,0.0,2.143,0.417,11.6,1.5,678226
Jonathan Hern\xc3\xa1ndez,26,970,Maj-AL,Texas,33,0,1.0,2.0,,31.2,35,20,19,15,34,4,4,5.4,125,5,1,1,1,2,2,0,0,147,553,0.61,0.18,0.13,0.53,0.19,0.07,1.579,0.348,9.7,2.27,642546
Jose Hernandez,25,971,Maj-NL,Pittsburgh,50,0,1.0,3.0,,50.2,47,30,28,22,62,9,1,4.97,197,15,1,3,0,1,7,0,0,223,868,0.64,0.19,0.12,0.4,0.22,0.09,1.362,0.299,11.0,2.82,669796
Nick Hernandez,28,983,Maj-NL,San Diego,2,0,,,,3.0,3,4,4,4,5,1,2,12.0,12,0,0,0,0,0,0,0,0,18,81,0.57,0.09,0.12,0.43,0.0,0.0,2.333,0.333,15.0,1.25,663321
Yonny Hern\xc3\xa1ndez,25,1061,Maj-NL,Los Angeles,1,0,,,,1.0,1,0,0,0,0,0,0,0.0,4,0,0,0,0,0,0,0,0,4,10,0.8,0.1,0.0,0.25,0.5,0.0,1.0,0.25,0.0,,660634
Jos\xc3\xa9 Herrera,26,1003,Maj-NL,Arizona,2,0,,,,2.0,4,2,2,0,0,0,0,9.0,10,1,0,0,0,0,0,0,0,10,38,0.66,0.16,0.03,0.4,0.3,0.1,2.0,0.4,0.0,,645444
